Date,Age_09-10,Age_14-15,Age_13-14,Age_08-09,Age_16-17,Age_12-13,Age_10-11,Age_11-12,Age_17-18,Age_15-16,Age_07-08
2019-05-12,1,1,1,1,1,1,1,1,1,1,1
2019-05-13,0,0,0,0,0,0,0,2,0,0,0
2019-05-16,4,3,4,3,3,4,4,9,3,3,3
2019-05-17,0,0,0,0,0,0,0,1,0,0,0
2019-05-19,1,1,1,1,1,1,1,4,1,1,1
2019-05-20,0,1,2,0,1,3,1,6,1,1,0
2019-05-21,0,0,0,0,0,0,0,3,0,0,0
2019-05-22,0,0,0,0,0,0,0,4,0,0,0
2019-05-23,1,0,1,0,0,1,1,3,0,0,0
2019-05-24,3,0,2,0,0,2,3,15,0,0,0
2019-05-25,1,0,0,0,0,0,2,4,0,0,0
2019-05-26,1,0,0,0,0,0,1,5,0,0,0
2019-05-27,0,0,0,0,0,2,0,3,0,0,0
2019-05-28,1,0,0,0,0,0,1,1,0,0,0
2019-05-29,3,0,0,0,0,0,3,9,0,0,0
2019-05-31,0,0,0,0,0,0,0,2,0,0,0
2019-06-01,1,3,5,0,0,6,1,6,0,3,0
2019-06-02,0,0,1,0,0,2,1,8,0,0,0
2019-06-03,7,0,9,0,0,11,7,26,0,0,0
2019-06-04,2,0,2,0,0,3,3,13,0,0,0
2019-06-05,1,0,4,0,0,9,1,12,0,0,0
2019-06-06,0,2,7,0,0,7,0,12,0,2,0
2019-06-07,3,5,16,1,3,18,4,26,1,5,1
2019-06-08,0,0,0,0,0,0,0,1,0,0,0
2019-06-09,0,0,1,0,0,1,0,2,0,0,0
2019-06-10,3,1,1,2,1,10,3,18,1,1,2
2019-06-11,6,1,1,0,0,4,6,19,0,1,0
2019-06-12,1,0,0,1,0,0,1,3,0,0,1
2019-06-13,9,2,3,3,1,6,10,26,1,2,3
2019-06-14,2,2,2,0,0,5,3,11,0,2,0
2019-06-15,3,5,7,1,2,7,7,20,2,5,1
2019-06-16,1,1,1,0,0,1,2,11,0,1,0
2019-06-17,5,5,11,0,2,20,11,41,1,5,0
2019-06-18,1,3,3,0,1,6,3,22,0,3,0
2019-06-19,3,6,6,1,1,7,6,24,1,6,1
2019-06-20,4,3,5,0,0,5,7,27,0,3,0
2019-06-21,0,1,3,0,1,5,2,15,0,1,0
