Date,German,French,Spanish,Any_language,Other
2019-05-12,1,1,1,1,0
2019-05-13,0,0,2,0,0
2019-05-16,4,9,3,3,0
2019-05-17,0,1,0,0,0
2019-05-19,1,1,2,3,0
2019-05-20,1,2,2,1,0
2019-05-21,2,1,0,0,0
2019-05-22,0,4,0,2,0
2019-05-23,1,2,0,0,0
2019-05-24,1,9,3,3,0
2019-05-25,2,1,1,0,0
2019-05-26,4,1,0,1,0
2019-05-27,2,0,1,0,0
2019-05-28,0,1,0,0,0
2019-05-29,0,6,3,0,0
2019-05-31,0,0,2,0,0
2019-06-01,1,3,1,2,0
2019-06-02,1,3,4,1,0
2019-06-03,2,18,14,1,0
2019-06-04,0,8,5,1,0
2019-06-05,0,9,3,4,0
2019-06-06,0,3,6,4,0
2019-06-07,8,9,12,14,0
2019-06-08,0,0,1,0,0
2019-06-09,2,2,3,2,1
2019-06-10,12,4,9,3,1
2019-06-11,7,16,14,9,2
2019-06-12,7,8,8,4,5
2019-06-13,9,20,10,3,3
2019-06-14,5,11,7,3,2
2019-06-15,6,20,9,6,5
2019-06-16,3,6,5,0,1
2019-06-17,8,29,20,11,2
2019-06-18,12,19,26,8,2
2019-06-19,11,24,19,11,1
2019-06-20,13,36,25,10,3
2019-06-21,9,20,15,10,0
2019-06-22,2,4,2,2,0
2019-06-23,4,13,10,5,0
2019-06-24,13,24,21,10,4
2019-06-25,9,23,12,3,0
2019-06-26,4,15,9,4,1
2019-06-27,8,14,12,7,2
2019-06-28,8,12,10,10,2
2019-06-29,0,2,0,2,0
2019-06-30,3,6,6,1,0
2019-07-01,8,6,14,6,2
2019-07-02,8,14,8,6,2
2019-07-03,11,20,12,7,3
2019-07-04,5,16,8,5,1
2019-07-05,6,8,7,2,0
2019-07-06,0,3,2,1,0
2019-07-07,24,32,26,3,14
2019-07-08,58,52,45,17,18
2019-07-09,20,50,30,8,6
2019-07-10,23,40,25,7,4
2019-07-11,8,21,16,2,2
2019-07-12,15,20,12,4,2
2019-07-13,4,6,6,6,3
2019-07-14,2,13,5,1,0
2019-07-15,2,3,1,0,0
2019-07-17,21,36,21,8,8
2019-07-18,3,21,20,3,1
2019-07-19,11,12,6,2,0
2019-07-20,6,3,5,1,2
2019-07-21,1,5,1,1,0
2019-07-22,1,9,5,2,0
2019-07-23,1,7,8,5,0
2019-07-24,2,3,5,3,1
2019-07-25,2,3,3,1,0
2019-07-26,1,1,2,1,1
2019-07-27,0,2,0,2,0
2019-07-28,17,20,17,18,0
2019-07-29,2,3,4,0,0
2019-07-30,1,3,0,3,0
2019-07-31,2,6,6,0,0
2019-08-01,4,5,3,4,0
2019-08-02,0,1,2,0,0
2019-08-05,1,2,4,1,0
2019-08-06,2,2,3,1,0
2019-08-07,1,2,1,0,0
2019-08-08,1,3,2,1,0
2019-08-09,1,4,1,4,0
2019-08-10,0,7,0,1,0
2019-08-11,2,1,0,2,0
2019-08-12,4,19,3,2,0
2019-08-13,0,4,5,2,0
2019-08-14,3,2,2,2,0
2019-08-15,0,5,1,0,0
2019-08-16,1,4,2,2,1
2019-08-17,1,3,0,0,0
2019-08-18,1,1,2,3,1
2019-08-19,3,12,14,3,0
2019-08-20,3,3,15,2,1
2019-08-21,1,2,9,0,0
2019-08-22,3,3,4,2,0
2019-08-23,1,2,2,1,0
2019-08-24,0,8,2,0,0
2019-08-25,1,7,4,1,0
2019-08-26,2,4,2,0,0
2019-08-27,0,1,4,1,0
2019-08-28,2,5,1,1,0
2019-08-29,0,1,4,0,0
2019-08-30,3,6,5,4,0
2019-08-31,3,5,3,3,0
2019-09-01,3,4,8,3,0
2019-09-02,1,4,4,1,0
2019-09-03,4,12,10,4,1
2019-09-04,5,3,9,1,0
2019-09-05,10,9,8,4,5
2019-09-06,5,8,4,0,1
2019-09-07,1,8,5,0,0
2019-09-08,2,4,2,6,0
2019-09-09,6,11,13,4,1
2019-09-10,2,7,4,2,0
2019-09-11,9,12,9,7,2
2019-09-12,0,6,6,3,0
2019-09-13,3,12,17,3,0
2019-09-14,1,1,0,0,0
2019-09-15,0,4,3,0,0
2019-09-16,12,14,13,6,2
2019-09-17,4,6,2,3,0
2019-09-18,2,8,4,2,0
2019-09-19,3,5,4,3,1
2019-09-20,3,5,5,0,2
2019-09-21,0,1,0,0,0
2019-09-22,1,4,3,1,0
2019-09-23,3,12,4,3,0
2019-09-24,3,5,7,3,0
2019-09-25,2,6,1,8,0
2019-09-26,4,11,10,5,2
2019-09-27,4,3,3,1,1
2019-09-28,2,3,4,1,0
2019-09-29,0,5,3,0,0
2019-09-30,4,7,3,4,0
2019-10-01,5,5,7,4,1
2019-10-02,4,3,4,0,0
2019-10-03,1,6,2,0,0
2019-10-04,1,5,1,1,0
2019-10-05,4,5,4,1,1
2019-10-06,0,1,2,0,0
2019-10-07,5,7,14,6,1
2019-10-08,2,6,8,2,1
2019-10-09,5,14,10,5,0
2019-10-10,9,24,9,3,0
2019-10-11,3,4,9,2,0
2019-10-12,1,3,2,1,0
2019-10-13,2,3,2,2,0
2019-10-14,11,26,12,7,0
2019-10-15,9,13,20,1,1
2019-10-16,9,18,11,7,2
2019-10-17,6,9,9,2,0
2019-10-18,4,7,6,6,0
2019-10-19,0,3,2,1,0
2019-10-20,2,3,3,1,0
2019-10-21,5,16,21,1,1
2019-10-22,1,8,6,1,0
2019-10-23,5,13,8,4,0
2019-10-24,4,9,9,1,1
2019-10-25,3,6,2,3,0
2019-10-26,2,3,2,2,0
2019-10-27,0,1,0,0,0
2019-10-28,0,1,2,0,0
2019-10-29,4,11,5,1,1
2019-10-30,2,5,2,4,0
2019-10-31,0,3,2,3,0
2019-11-01,2,4,4,0,2
2019-11-02,0,3,2,0,0
2019-11-03,1,2,2,1,0
2019-11-04,4,6,5,6,0
2019-11-05,2,12,9,5,0
2019-11-06,1,8,2,5,0
2019-11-07,3,5,6,3,0
2019-11-08,3,9,6,1,1
2019-11-09,3,7,4,4,0
2019-11-10,2,5,4,0,0
2019-11-11,6,14,18,5,1
