Date,Principles_ideas_for_teaching_curriculum,Criteria_for_selecting_teaching_resources,Schemes_of_work,Vocabulary_frequency_lists,Observation_schedules,CPD_powerpoints,Other,Primary-Secondary_Transition,Video_clips_of_classrooms,Knowledge_about_English_from_KS2
2019-05-12,1,1,1,0,0,0,0,0,0,0
2019-05-16,3,3,3,1,0,0,0,0,0,0
2019-05-17,0,0,0,1,0,0,0,0,0,0
2019-05-19,1,1,1,0,0,0,0,0,0,0
2019-05-20,2,1,0,2,0,0,0,0,0,0
2019-05-21,1,0,0,3,0,0,0,0,0,0
2019-05-22,2,0,1,0,1,0,0,0,0,0
2019-05-24,4,1,0,1,0,3,0,0,0,0
2019-05-25,0,0,0,1,0,0,0,0,0,0
2019-05-26,3,1,0,2,0,1,0,0,0,0
2019-06-01,5,3,3,3,0,2,0,0,0,0
2019-06-02,1,0,0,2,0,1,0,0,0,0
2019-06-03,2,1,0,4,0,1,0,0,0,0
2019-06-04,2,0,0,4,0,1,0,0,0,0
2019-06-05,4,0,2,1,0,3,0,0,0,0
2019-06-06,7,2,4,6,0,0,0,0,0,0
2019-06-07,20,5,1,6,0,13,0,0,0,0
2019-06-08,0,0,0,1,0,0,0,0,0,0
2019-06-09,2,0,1,0,1,1,0,0,0,0
2019-06-10,4,1,1,2,1,1,0,0,0,0
2019-06-11,11,1,5,8,2,7,0,0,0,0
2019-06-12,5,2,0,2,5,3,0,0,0,0
2019-06-13,8,2,2,4,0,3,1,0,0,0
2019-06-14,6,2,3,2,2,2,1,0,0,0
2019-06-15,13,5,4,5,0,6,0,0,0,0
2019-06-16,2,1,0,6,0,1,1,0,0,0
2019-06-17,21,5,7,12,1,8,0,0,0,0
2019-06-18,18,3,0,7,0,10,0,0,0,0
2019-06-19,18,6,3,12,0,9,0,0,0,0
2019-06-20,23,10,4,21,0,12,0,0,0,0
2019-06-21,15,4,1,12,0,8,0,0,0,0
2019-06-22,4,2,2,4,0,2,0,0,0,0
2019-06-23,8,1,0,5,0,5,0,0,0,0
2019-06-24,16,3,2,11,1,10,0,0,0,0
2019-06-25,15,12,1,13,0,2,0,0,0,0
2019-06-26,9,4,1,10,0,4,0,0,0,0
2019-06-27,11,1,2,7,0,7,0,0,0,0
2019-06-28,7,1,1,2,0,5,0,0,0,0
2019-06-29,2,0,1,0,0,0,0,0,0,0
2019-06-30,4,3,1,5,0,1,0,0,0,0
2019-07-01,7,2,0,3,0,4,0,0,0,0
2019-07-02,12,2,1,5,2,5,0,0,0,0
2019-07-03,9,4,2,7,1,5,0,0,0,0
2019-07-04,8,2,1,4,0,4,0,0,0,0
