Date,material,resource_for_classroom,tests_assesments
2019-05-12,1,0,0
2019-05-13,0,2,0
2019-05-16,3,7,0
2019-05-17,0,1,0
2019-05-19,1,3,0
2019-05-20,1,5,0
2019-05-21,0,3,0
2019-05-22,2,4,0
2019-05-23,0,3,0
2019-05-24,4,10,2
2019-05-25,0,3,1
2019-05-26,1,5,0
2019-05-27,0,3,0
2019-05-28,0,1,0
2019-05-29,0,5,4
2019-05-31,0,0,2
2019-06-01,5,2,0
2019-06-02,1,7,1
2019-06-03,2,33,0
2019-06-04,1,13,0
2019-06-05,4,12,0
2019-06-06,6,7,0
2019-06-07,19,13,0
2019-06-08,0,1,0
2019-06-09,3,1,0
2019-06-10,4,16,0
2019-06-11,13,17,0
2019-06-12,9,2,0
2019-06-13,7,26,0
2019-06-14,7,12,0
2019-06-15,13,13,2
2019-06-16,2,8,2
2019-06-17,21,33,1
2019-06-18,14,23,0
2019-06-19,17,19,0
2019-06-20,23,28,0
2019-06-21,15,18,0
2019-06-22,4,0,0
2019-06-23,8,12,0
2019-06-24,16,22,4
2019-06-25,15,25,1
2019-06-26,9,12,0
2019-06-27,10,12,0
2019-06-28,9,9,2
2019-06-29,2,1,1
2019-06-30,5,5,1
2019-07-01,7,17,2
2019-07-02,11,13,0
2019-07-03,12,17,2
2019-07-04,8,14,1
2019-07-05,7,10,0
2019-07-06,2,4,0
2019-07-07,23,29,0
2019-07-08,39,67,0
2019-07-09,22,47,7
2019-07-10,15,58,1
2019-07-11,4,32,4
2019-07-12,8,34,2
2019-07-13,9,3,1
2019-07-14,6,11,1
2019-07-15,1,5,0
2019-07-17,20,38,1
2019-07-18,8,36,1
2019-07-19,8,13,0
2019-07-20,5,3,0
2019-07-21,1,4,0
2019-07-22,4,13,0
2019-07-23,9,9,0
2019-07-24,4,5,1
2019-07-25,3,1,0
2019-07-26,2,1,0
2019-07-27,2,2,0
2019-07-28,18,3,0
2019-07-29,4,4,0
2019-07-30,3,4,0
2019-07-31,5,3,4
2019-08-01,9,6,0
2019-08-02,0,2,1
2019-08-05,1,4,0
2019-08-06,1,4,0
2019-08-07,1,1,0
2019-08-08,2,3,0
2019-08-09,4,6,0
2019-08-10,1,7,0
2019-08-11,2,3,0
2019-08-12,3,23,0
2019-08-13,5,6,0
2019-08-14,4,5,0
2019-08-15,1,4,1
2019-08-16,3,4,0
2019-08-17,1,3,0
2019-08-18,3,1,0
2019-08-19,12,21,1
2019-08-20,12,7,0
2019-08-21,2,10,0
2019-08-22,4,5,0
2019-08-23,2,4,0
2019-08-24,4,6,0
2019-08-25,1,9,0
2019-08-26,1,5,0
2019-08-27,2,4,0
2019-08-28,1,8,0
2019-08-29,0,5,0
2019-08-30,4,11,0
2019-08-31,5,6,0
2019-09-01,3,11,1
2019-09-02,4,6,0
2019-09-03,7,15,3
2019-09-04,5,11,0
2019-09-05,8,12,0
2019-09-06,1,14,0
2019-09-07,0,14,0
2019-09-08,6,8,0
2019-09-09,6,16,1
2019-09-10,3,12,0
2019-09-11,8,11,1
2019-09-12,3,12,0
2019-09-13,2,30,0
2019-09-14,0,2,0
2019-09-15,1,6,0
2019-09-16,8,14,1
2019-09-17,2,10,0
2019-09-18,2,10,1
2019-09-19,5,7,1
2019-09-20,2,6,1
2019-09-21,0,1,0
2019-09-22,1,5,0
2019-09-23,4,17,1
2019-09-24,4,13,1
2019-09-25,3,14,0
2019-09-26,7,13,0
2019-09-27,2,4,0
2019-09-28,2,5,0
2019-09-29,1,6,1
2019-09-30,4,11,0
2019-10-01,4,8,0
2019-10-02,0,10,1
2019-10-03,2,5,0
2019-10-04,1,4,0
2019-10-05,3,4,0
2019-10-06,0,3,0
2019-10-07,7,14,0
2019-10-08,3,9,1
2019-10-09,7,16,0
2019-10-10,9,23,0
2019-10-11,3,10,0
2019-10-12,1,3,0
2019-10-13,2,4,0
2019-10-14,7,43,0
2019-10-15,4,32,0
