Date,language_learner,established_scholar,university_academic,language_teacher,language_teacher_secondary,language_teacher_adult_edu,language_teacher_private,language_teacher_other,language_teacher_primary,language_teacher_pre_elementary,test_developer,mid_career,materials_developer,professional_development_provider,teacher_educator,student,masters,early_career,language_teacher_tertiary,other,parent,media,phd,ncelp_hub_school_teacher,ncelp_specialist_teacher,undergraduate,policy_maker
2019-04-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-12,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-13,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-16,0,0,1,13,3,2,2,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-17,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-19,0,0,0,7,3,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-20,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-21,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-22,0,0,0,8,2,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-23,0,0,0,3,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-24,0,0,0,18,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-25,1,1,2,3,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-26,1,0,0,5,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-27,0,0,0,5,1,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
2019-05-28,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-29,2,0,0,6,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-31,0,0,0,4,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-01,0,0,0,9,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-02,1,0,0,12,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-03,1,0,0,45,18,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-04,2,0,1,14,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019-06-05,0,1,1,19,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-06,0,0,0,16,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-07,4,0,0,37,17,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-08,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-09,0,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
2019-06-10,0,0,0,37,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-11,0,0,0,22,12,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-12,1,0,1,9,5,0,0,1,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0
2019-06-13,2,0,0,31,14,0,0,1,1,0,0,0,0,3,6,1,0,0,0,1,0,0,0,0,0,0,0
2019-06-14,0,0,1,24,9,0,0,0,2,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-15,3,0,2,32,17,1,0,0,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-16,0,0,0,16,7,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-17,3,1,1,58,25,0,0,3,2,1,0,0,2,0,7,2,0,0,1,2,0,0,0,0,0,0,0
2019-06-18,2,0,0,46,21,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-19,0,0,0,44,18,0,0,0,0,0,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0
2019-06-20,3,1,3,66,31,0,1,0,0,0,0,1,2,0,2,1,0,0,1,1,0,0,0,0,0,0,0
2019-06-21,2,0,0,40,23,0,0,0,2,0,0,0,5,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2019-06-22,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
